client_id,client_name,client_type,sector,sector_risk,country,pep_flag,sanctions_flag,fatf_country_flag,ofac_country_flag,sectoral_sanctions_flag,ownership_opacity_score,total_transactions,total_amount,avg_amount,ofac_matches,fatf_txn_flags,structuring_flags,rapid_movement_flags,trade_mispricing_flags,unique_counterparty_countries,client_country,composite_risk_score,risk_tier,kyc_risk_flag,sector_risk_enc,risk_score,risk_level,recommended_action
28,Villegas-Bishop,Financial Institution,Real Estate,Medium,IR,0,0,1,1,0,0.0,17,48583.65,2857.8617647058823,0,0,1,0,0,11,IR,5.5,High,1,1,0.99559844,Critical,Compliance team intervention
29,Smith-Miller,Corporate,Import/Export,Medium,RU,0,0,0,1,0,0.0,18,40758.06,2264.3366666666666,0,0,0,0,0,11,RU,2.0,Low,0,1,0.0052734036,Low Risk,No action required
30,"Moore, Ballard and Adams",NGO,Casino/Gambling,High,IR,0,0,1,1,0,1.0,28,90606.42,3235.9435714285714,1,0,0,1,0,12,IR,16.0,Critical,1,2,0.99843985,Critical,Compliance team intervention
31,Brown Inc,NGO,Casino/Gambling,High,LB,0,0,0,0,0,0.0,29,87717.11,3024.727931034483,2,0,0,3,0,13,LB,4.0,Medium,1,2,0.9974975,Critical,Compliance team intervention
32,Murray PLC,Financial Institution,Financial Services,Medium,FR,0,0,0,0,1,0.0,28,68158.55,2434.233928571429,1,1,0,2,0,11,FR,3.5,Medium,1,1,0.99766904,Critical,Compliance team intervention
33,Moss Ltd,Corporate,Real Estate,Medium,RU,0,0,0,1,0,0.0,23,30669.93,1333.4752173913043,0,0,0,2,0,11,RU,2.0,Low,0,1,0.0045931395,Low Risk,No action required
34,Williams-Lawson,Financial Institution,Financial Services,Medium,AF,0,0,0,0,1,0.0,24,48461.26,2019.2191666666668,0,0,0,0,0,9,AF,1.5,Low,0,1,0.0017627237,Low Risk,No action required
35,Washington-Johnson,Financial Institution,NGO/Charity,High,IR,0,0,1,1,0,0.0,25,67112.71,2684.5084,0,0,0,1,0,11,IR,4.0,Medium,1,2,0.98920375,Critical,Compliance team intervention
36,"Olson, Evans and Thomas",Individual,Crypto Exchange,High,IN,0,0,0,0,0,0.0,20,171326.51,8566.3255,1,0,0,1,0,10,IN,2.0,Low,1,2,0.9979825,Critical,Compliance team intervention
37,"Miller, Berg and Rice",NGO,Energy/Oil,High,SD,0,0,0,1,1,0.0,23,52392.98,2277.9556521739128,0,0,0,1,0,9,SD,3.5,Medium,0,2,0.004238881,Low Risk,No action required
38,"Hubbard, Obrien and Davis",Corporate,Real Estate,Medium,VE,0,0,0,1,0,0.5,29,35899.1,1237.9,0,0,0,3,0,13,VE,7.0,High,1,1,0.9969176,Critical,Compliance team intervention
39,White-Scott,NGO,NGO/Charity,High,FR,0,0,0,0,0,0.0,21,136808.96,6514.712380952381,0,0,1,1,0,12,FR,1.5,Low,0,2,0.004505496,Low Risk,No action required
40,Fowler and Sons,Individual,Real Estate,Medium,RU,0,0,0,1,0,0.0,23,46394.19,2017.138695652174,0,0,0,1,0,12,RU,2.0,Low,0,1,0.0061835446,Low Risk,No action required
41,"May, Jennings and Downs",Corporate,Casino/Gambling,High,NL,0,0,0,0,0,0.0,26,149133.88999999998,5735.918846153845,0,0,2,0,0,10,NL,3.0,Medium,0,2,0.0033736338,Low Risk,No action required
42,"Gates, Hicks and Frazier",Corporate,Crypto Exchange,High,NL,0,0,0,0,0,0.0,14,74797.81,5342.700714285714,0,0,0,0,0,10,NL,0.0,Low,0,2,0.0024720586,Low Risk,No action required
43,"Cox, Peck and Miranda",NGO,Crypto Exchange,High,SY,0,0,0,1,0,0.0,25,82454.35,3298.1740000000004,1,0,1,1,0,11,SY,5.5,High,1,2,0.9987877,Critical,Compliance team intervention
44,"Wilson, Garcia and Daniels",NGO,Real Estate,Medium,US,1,0,0,0,0,0.0,24,205943.35,8580.972916666668,0,0,0,0,0,12,US,3.0,Medium,1,1,0.9968086,Critical,Compliance team intervention
45,"Ryan, Lawson and Harris",Corporate,Financial Services,Medium,KP,0,0,1,1,1,0.0,20,41730.56,2086.528,0,0,0,0,0,12,KP,5.5,High,1,1,0.99112785,Critical,Compliance team intervention
46,"Castro, Manning and Berry",NGO,Retail,Low,NL,0,0,0,0,0,0.0,36,99537.42,2764.9283333333333,0,0,2,1,0,14,NL,3.0,Medium,0,0,0.0033292577,Low Risk,No action required
47,Rodriguez Ltd,NGO,NGO/Charity,High,DE,0,0,0,0,0,0.0,30,138207.66,4606.9220000000005,0,0,0,1,0,13,DE,0.0,Low,0,2,0.00321337,Low Risk,No action required
48,Hill-Luna,Financial Institution,Financial Services,Medium,KP,0,0,1,1,1,0.0,20,41154.41,2057.7205000000004,0,0,0,1,0,11,KP,5.5,High,1,1,0.9910817,Critical,Compliance team intervention
49,"Russell, Bradley and Ryan",Individual,Defense/Arms,High,AF,0,0,0,0,1,0.0,31,288249.56,9298.372903225809,0,0,1,1,0,10,AF,3.0,Medium,0,2,0.0030603122,Low Risk,No action required
50,Nelson-Alexander,NGO,Real Estate,Medium,SY,0,0,0,1,0,0.0,21,34873.62,1660.6485714285716,0,0,0,0,0,9,SY,2.0,Low,0,1,0.004204669,Low Risk,No action required
51,"Eaton, Hurley and Mullins",Individual,Casino/Gambling,High,AU,0,0,0,0,0,0.0,20,136050.9,6802.545,1,0,0,1,0,12,AU,2.0,Low,1,2,0.99816614,Critical,Compliance team intervention
52,Gray-Sanford,Financial Institution,Defense/Arms,High,FR,0,0,0,0,1,0.0,27,204938.25000000003,7590.305555555557,0,0,0,0,0,11,FR,1.5,Low,0,2,0.0031811194,Low Risk,No action required
53,Johnson LLC,Individual,Defense/Arms,High,IR,0,0,1,1,1,0.0,25,171203.57,6848.1428000000005,1,0,1,1,0,11,IR,9.0,High,1,2,0.9983542,Critical,Compliance team intervention
54,"Ramos, Keller and Rodgers",Corporate,NGO/Charity,High,AF,0,0,0,0,0,0.5,28,182923.4,6532.978571428571,0,0,0,3,0,12,AF,5.0,Medium,1,2,0.9943634,Critical,Compliance team intervention
55,Rivera-Guzman,NGO,Defense/Arms,High,SD,0,0,0,1,1,0.5,22,120942.17,5497.371363636364,1,1,0,3,0,8,SD,10.5,Critical,1,2,0.99833703,Critical,Compliance team intervention
56,Buckley-Goodman,Financial Institution,Defense/Arms,High,CN,0,0,0,0,1,0.0,16,187399.16000000003,11712.447500000002,0,0,0,0,0,11,CN,1.5,Low,0,2,0.004426501,Low Risk,No action required
57,"Snyder, Hines and Thompson",Financial Institution,Retail,Low,SY,0,0,0,1,0,0.0,20,35145.51,1757.2755000000002,0,0,0,1,0,7,SY,2.0,Low,0,0,0.004484679,Low Risk,No action required
58,"Davis, Ballard and Schmidt",Individual,Import/Export,Medium,AF,0,0,0,0,0,0.0,20,41180.22,2059.011,0,0,0,0,0,10,AF,0.0,Low,0,1,0.0020397836,Low Risk,No action required
59,Tran-Novak,NGO,Consulting,Low,DE,0,0,0,0,0,0.0,22,43475.75,1976.1704545454545,0,0,0,1,0,10,DE,0.0,Low,0,0,0.0022777652,Low Risk,No action required
60,Cooke-James,Individual,Defense/Arms,High,VE,0,0,0,1,1,0.0,24,104855.7,4368.9875,0,0,0,2,0,10,VE,3.5,Medium,0,2,0.0069968877,Low Risk,No action required
61,Lee and Sons,Financial Institution,Retail,Low,CH,0,0,0,0,0,0.0,16,29869.04,1866.815,0,0,0,0,0,9,CH,0.0,Low,0,0,0.0015991689,Low Risk,No action required
62,Fernandez-Brewer,Individual,Retail,Low,US,0,0,0,0,0,0.0,20,62676.58,3133.829,1,1,0,0,0,12,US,2.0,Low,1,0,0.9987099,Critical,Compliance team intervention
63,Powell-Santiago,NGO,NGO/Charity,High,LB,0,0,0,0,0,0.0,31,172626.56,5568.59870967742,0,0,0,2,0,12,LB,0.0,Low,0,2,0.0024336828,Low Risk,No action required
64,"Wilson, Cook and Miller",Individual,Import/Export,Medium,KP,0,0,1,1,0,0.0,23,34219.7,1487.8130434782609,0,0,0,1,0,13,KP,4.0,Medium,1,1,0.99346125,Critical,Compliance team intervention
65,Allen PLC,NGO,Consulting,Low,VE,0,0,0,1,0,0.0,26,49234.04,1893.616923076923,2,1,0,2,0,14,VE,6.0,High,1,0,0.99867815,Critical,Compliance team intervention
66,Mills-Browning,Financial Institution,Defense/Arms,High,CH,0,0,0,0,1,0.0,22,109608.82,4982.2190909090905,1,0,1,1,0,12,CH,5.0,Medium,1,2,0.997013,Critical,Compliance team intervention
67,"Kim, Gibbs and Cardenas",Corporate,Retail,Low,NL,0,0,0,0,0,0.5,24,56861.85,2369.24375,1,1,0,1,0,12,NL,7.0,High,1,0,0.9987165,Critical,Compliance team intervention
68,Vaughan and Sons,NGO,Real Estate,Medium,UK,1,0,0,0,0,0.0,28,219390.91,7835.389642857143,0,0,0,0,0,13,UK,3.0,Medium,1,1,0.99682045,Critical,Compliance team intervention
69,Juarez PLC,Individual,Financial Services,Medium,AF,0,0,0,0,1,0.0,28,71073.71,2538.346785714286,0,0,0,2,0,11,AF,1.5,Low,0,1,0.0024190787,Low Risk,No action required
70,Lewis-Allen,NGO,Defense/Arms,High,AE,0,0,0,0,1,0.0,27,215133.91,7967.922592592593,0,0,0,2,0,11,AE,1.5,Low,0,2,0.0031811194,Low Risk,No action required
71,"Hawkins, Harris and Peters",Corporate,Casino/Gambling,High,CN,0,0,0,0,0,0.5,28,297767.87,10634.566785714283,0,0,1,2,0,13,CN,6.5,High,1,2,0.9959985,Critical,Compliance team intervention
72,Smith Group,Financial Institution,Tech,Low,JP,0,0,0,0,0,0.0,28,53086.71,1895.9539285714288,0,0,0,1,0,11,JP,0.0,Low,0,0,0.0019948427,Low Risk,No action required
73,Gomez-Mason,NGO,Consulting,Low,US,0,0,0,0,0,0.0,27,64344.62,2383.1340740740743,0,0,0,1,0,11,US,0.0,Low,0,0,0.0026041847,Low Risk,No action required
74,"Sutton, Wright and Maxwell",NGO,Casino/Gambling,High,CH,0,0,0,0,0,0.0,16,180471.77,11279.485625,0,0,0,1,0,9,CH,0.0,Low,0,2,0.004156895,Low Risk,No action required
75,"Hunter, Green and Gardner",NGO,Casino/Gambling,High,SY,0,0,0,1,0,0.0,35,160233.4,4578.097142857143,1,0,1,1,0,14,SY,5.5,High,1,2,0.99853337,Critical,Compliance team intervention
76,Jarvis and Sons,Individual,Consulting,Low,FR,0,0,0,0,0,0.0,22,61634.53,2801.5695454545453,1,0,0,0,0,11,FR,2.0,Low,1,0,0.99786997,Critical,Compliance team intervention
77,"Kelly, Johnson and Brooks",Financial Institution,Financial Services,Medium,DE,0,0,0,0,1,0.0,25,60835.09,2433.4036,1,0,1,0,0,13,DE,5.0,Medium,1,1,0.9984794,Critical,Compliance team intervention
78,"Roach, Thomas and Richardson",Corporate,Crypto Exchange,High,SD,0,0,0,1,0,0.5,24,111437.49,4643.228749999999,0,0,1,0,0,10,SD,8.5,High,1,2,0.9973794,Critical,Compliance team intervention
79,Roberson-Medina,NGO,Financial Services,Medium,UK,0,0,0,0,1,1.0,19,47533.63,2501.77,0,0,0,2,0,10,UK,11.5,Critical,1,1,0.99498415,Critical,Compliance team intervention
80,Wallace Ltd,Financial Institution,Retail,Low,US,0,0,0,0,0,0.0,30,41733.41,1391.1136666666669,0,0,0,1,0,13,US,0.0,Low,0,0,0.0031238045,Low Risk,No action required
81,"Lynch, Calderon and Glover",Individual,NGO/Charity,High,AE,0,0,0,0,0,0.0,27,114268.33,4232.16037037037,1,0,0,2,0,12,AE,2.0,Low,1,2,0.99704784,Critical,Compliance team intervention
82,Walker-Norman,NGO,Energy/Oil,High,VE,1,0,0,1,1,0.0,22,164025.71,7455.71409090909,1,0,0,3,0,13,VE,8.5,High,1,2,0.9988158,Critical,Compliance team intervention
83,"Moore, Gardner and Bray",Individual,NGO/Charity,High,IR,0,0,1,1,0,0.0,23,65370.48,2842.194782608696,0,0,0,1,0,11,IR,4.0,Medium,1,2,0.9931925,Critical,Compliance team intervention
84,Moreno-Sanders,Individual,Financial Services,Medium,IN,0,0,0,0,1,0.0,24,39058.66,1627.4441666666664,0,0,0,1,0,10,IN,1.5,Low,0,1,0.0018432585,Low Risk,No action required
85,Myers-Wood,NGO,Import/Export,Medium,AU,0,0,0,0,0,0.0,27,57450.84,2127.808888888889,0,0,0,3,0,12,AU,0.0,Low,0,1,0.002461905,Low Risk,No action required
86,Gibson-Nunez,Financial Institution,Casino/Gambling,High,FR,0,0,0,0,0,0.0,20,82318.38,4115.919,0,0,0,2,0,10,FR,0.0,Low,0,2,0.002939236,Low Risk,No action required
87,Weiss PLC,NGO,Energy/Oil,High,IN,0,0,0,0,1,0.5,24,189076.12,7878.171666666666,0,0,0,2,0,9,IN,6.5,High,1,2,0.9953159,Critical,Compliance team intervention
88,Richards-Burns,Corporate,Real Estate,Medium,SG,0,0,0,0,0,0.5,20,30581.06,1529.053,2,0,0,0,0,10,SG,9.0,High,1,1,0.99788195,Critical,Compliance team intervention
89,"Hoffman, Bailey and Tate",Corporate,Import/Export,Medium,US,0,0,0,0,0,0.0,19,52077.91,2740.9426315789474,0,0,0,2,0,9,US,0.0,Low,0,1,0.002204321,Low Risk,No action required
90,Garcia-Baker,Financial Institution,Crypto Exchange,High,IR,0,0,1,1,0,0.0,26,165154.95,6352.113461538462,0,0,0,1,0,10,IR,4.0,Medium,1,2,0.99045146,Critical,Compliance team intervention
91,Richardson-Richardson,Individual,Import/Export,Medium,AF,0,0,0,0,0,0.0,19,23989.58,1262.6094736842103,0,0,0,0,0,11,AF,0.0,Low,0,1,0.0018410762,Low Risk,No action required
92,Foster Inc,NGO,Retail,Low,JP,0,0,0,0,0,0.5,24,47638.9,1984.9541666666669,0,0,0,0,0,11,JP,5.0,Medium,1,0,0.99344677,Critical,Compliance team intervention
93,"Moreno, Reyes and Wright",Individual,Import/Export,Medium,SY,0,0,0,1,0,0.0,29,63491.83,2189.3734482758623,0,0,0,0,0,13,SY,2.0,Low,0,1,0.007984085,Low Risk,No action required
94,"Lewis, Welch and Charles",Individual,Retail,Low,NL,0,1,0,0,0,0.0,25,199520.24,7980.8096,16,5,1,1,0,8,NL,36.5,Critical,1,0,0.9995902,Critical,Compliance team intervention
95,"Jenkins, Harper and Edwards",Individual,Real Estate,Medium,SD,0,0,0,1,0,0.0,30,60070.26,2002.342,1,0,0,1,0,13,SD,4.0,Medium,1,1,0.9985846,Critical,Compliance team intervention
96,Young Inc,Financial Institution,Import/Export,Medium,VE,0,0,0,1,0,0.0,24,49966.44,2081.935,0,0,0,1,0,12,VE,2.0,Low,0,1,0.0070560165,Low Risk,No action required
97,Powell-Johnson,NGO,Energy/Oil,High,SY,0,1,0,1,1,1.0,21,101529.8,4834.752380952381,18,3,1,2,0,8,SY,54.0,Critical,1,2,0.99821943,Critical,Compliance team intervention
98,Clarke LLC,Corporate,NGO/Charity,High,SG,0,0,0,0,0,0.0,25,92957.42,3718.2968,0,0,0,2,0,11,SG,0.0,Low,0,2,0.003485388,Low Risk,No action required
99,Ford-Chen,Individual,Casino/Gambling,High,AF,0,0,0,0,0,0.0,29,222034.0,7656.3448275862065,1,0,0,1,0,13,AF,2.0,Low,1,2,0.9981756,Critical,Compliance team intervention
100,"Moore, Joyce and Morrison",Financial Institution,NGO/Charity,High,CH,0,0,0,0,0,0.0,24,118067.81,4919.4920833333335,0,0,0,1,0,9,CH,0.0,Low,0,2,0.0018595761,Low Risk,No action required
101,"Jones, Smith and Kent",Corporate,NGO/Charity,High,VE,0,0,0,1,0,0.0,25,78488.18,3139.5271999999995,0,0,0,0,0,10,VE,2.0,Low,0,2,0.007361859,Low Risk,No action required
102,Munoz-Zuniga,Financial Institution,Consulting,Low,SG,0,0,0,0,0,0.0,17,46455.84,2732.696470588236,0,0,0,1,0,11,SG,0.0,Low,0,0,0.002654655,Low Risk,No action required
103,"Martin, Cooper and Coleman",Individual,Casino/Gambling,High,CA,0,0,0,0,0,0.0,25,139045.58000000002,5561.823200000001,2,0,0,0,0,12,CA,4.0,Medium,1,2,0.9977992,Critical,Compliance team intervention
104,"Hudson, Monroe and Pierce",Financial Institution,NGO/Charity,High,AU,0,0,0,0,0,0.0,27,251051.37,9298.198888888888,0,0,0,1,0,11,AU,0.0,Low,0,2,0.0033057167,Low Risk,No action required
105,Schmidt Inc,Corporate,Real Estate,Medium,AE,0,0,0,0,0,0.5,21,68707.29000000001,3271.7757142857145,1,0,0,1,0,11,AE,7.0,High,1,1,0.999275,Critical,Compliance team intervention
106,"Conner, Carter and Yang",Financial Institution,Import/Export,Medium,LB,0,0,0,0,0,0.0,27,40286.36,1492.0874074074077,1,1,0,1,0,13,LB,2.0,Low,1,1,0.9983359,Critical,Compliance team intervention
107,"Mckinney, Torres and Stewart",Financial Institution,Defense/Arms,High,RU,0,0,0,1,1,0.0,25,129006.11,5160.2444,0,0,0,0,0,12,RU,3.5,Medium,0,2,0.0070808018,Low Risk,No action required
108,Castro-Nguyen,Individual,Real Estate,Medium,IR,0,0,1,1,0,0.0,24,46262.630000000005,1927.6095833333336,1,0,0,3,0,13,IR,6.0,High,1,1,0.9984692,Critical,Compliance team intervention
109,Johnson Inc,Corporate,Defense/Arms,High,AE,0,0,0,0,1,0.0,31,114563.51,3695.5970967741937,1,1,0,2,0,13,AE,3.5,Medium,1,2,0.99757844,Critical,Compliance team intervention
110,Kelley-Klein,Financial Institution,Financial Services,Medium,SG,0,0,0,0,1,0.0,22,40623.11,1846.505,1,0,0,2,0,13,SG,3.5,Medium,1,1,0.99822956,Critical,Compliance team intervention
111,Marshall Inc,NGO,Real Estate,Medium,CN,0,0,0,0,0,0.0,29,64529.07,2225.140344827586,0,0,0,3,0,10,CN,0.0,Low,0,1,0.0025040647,Low Risk,No action required
112,Little Inc,NGO,Retail,Low,FR,0,0,0,0,0,0.0,29,66051.37,2277.633448275862,1,1,0,0,0,11,FR,2.0,Low,1,0,0.9970522,Critical,Compliance team intervention
113,Wang-Fletcher,Corporate,Consulting,Low,AE,0,0,0,0,0,1.0,24,43734.58,1822.2741666666668,2,1,0,1,0,13,AE,14.0,Critical,1,0,0.9989197,Critical,Compliance team intervention
114,"Cherry, Watson and Rich",Individual,Tech,Low,AU,0,0,0,0,0,0.0,26,35034.0,1347.4615384615386,0,0,0,2,0,10,AU,0.0,Low,0,0,0.001944222,Low Risk,No action required
115,Bartlett Group,Individual,NGO/Charity,High,SG,0,0,0,0,0,0.0,26,139737.91,5374.535,1,0,1,3,0,12,SG,3.5,Medium,1,2,0.99756396,Critical,Compliance team intervention
116,Gibson-Bird,NGO,Financial Services,Medium,VE,0,0,0,1,1,1.0,27,59957.83,2220.6603703703704,1,1,0,3,0,12,VE,15.5,Critical,1,1,0.99879396,Critical,Compliance team intervention
117,Lee-Olson,Corporate,Real Estate,Medium,VE,1,0,0,1,0,0.0,31,349461.86,11272.96322580645,1,0,0,0,0,13,VE,7.0,High,1,1,0.9996835,Critical,Compliance team intervention
118,Ortega-Acevedo,Corporate,NGO/Charity,High,SD,0,0,0,1,0,0.0,29,66658.33,2298.563103448276,1,0,1,3,0,11,SD,5.5,High,1,2,0.996549,Critical,Compliance team intervention
119,Dickson PLC,NGO,Tech,Low,DE,0,0,0,0,0,0.0,26,49161.38,1890.8223076923075,0,0,0,0,0,13,DE,0.0,Low,0,0,0.0035791986,Low Risk,No action required
120,"Contreras, Ferguson and Hunt",Financial Institution,Financial Services,Medium,RU,0,0,0,1,1,0.0,16,36756.14,2297.25875,0,0,0,1,0,9,RU,3.5,Medium,0,1,0.0051294537,Low Risk,No action required
121,Phillips PLC,Corporate,Defense/Arms,High,IN,0,0,0,0,1,1.0,18,99661.5,5536.75,0,0,0,0,0,10,IN,11.5,Critical,1,2,0.9939605,Critical,Compliance team intervention
122,Patel-White,Financial Institution,Casino/Gambling,High,SY,0,0,0,1,0,0.0,27,114252.57,4231.576666666667,1,0,0,0,0,13,SY,4.0,Medium,1,2,0.998321,Critical,Compliance team intervention
123,Stevens-Gray,NGO,Casino/Gambling,High,US,0,0,0,0,0,0.5,24,96560.09,4023.337083333333,0,0,0,3,0,12,US,5.0,Medium,1,2,0.99550605,Critical,Compliance team intervention
124,Smith and Sons,Financial Institution,Real Estate,Medium,RU,0,0,0,1,0,0.0,23,41823.84,1818.4278260869564,0,0,0,1,0,11,RU,2.0,Low,0,1,0.005351638,Low Risk,No action required
125,"Kim, Mccoy and Moore",NGO,Retail,Low,AF,0,0,0,0,0,0.0,21,44619.69,2124.747142857143,1,1,0,2,0,10,AF,2.0,Low,1,0,0.9970843,Critical,Compliance team intervention
126,"Adkins, Rose and Huber",Individual,Consulting,Low,JP,0,0,0,0,0,0.0,28,61676.64,2202.7371428571428,0,0,0,2,0,12,JP,0.0,Low,0,0,0.0025949194,Low Risk,No action required
127,Hill Group,Corporate,Financial Services,Medium,SG,0,0,0,0,1,1.0,23,39987.61,1738.591739130435,0,0,0,4,0,9,SG,11.5,Critical,1,1,0.9926658,Critical,Compliance team intervention
128,Acosta and Sons,Financial Institution,Crypto Exchange,High,KP,0,0,1,1,0,0.0,17,68550.51,4032.3829411764714,0,0,0,0,0,11,KP,4.0,Medium,1,2,0.9933462,Critical,Compliance team intervention
129,"Walker, Palmer and Dawson",NGO,Retail,Low,LB,0,0,0,0,0,0.0,32,63551.25,1985.9765625,0,0,0,3,0,13,LB,0.0,Low,0,0,0.0027198028,Low Risk,No action required
130,Vargas and Sons,Financial Institution,Import/Export,Medium,IR,1,0,1,1,0,0.0,22,155793.41999999998,7081.51909090909,0,0,0,0,0,12,IR,7.0,High,1,1,0.9988336,Critical,Compliance team intervention
131,Boone Ltd,Corporate,Real Estate,Medium,SD,0,0,0,1,0,0.0,27,51973.74,1924.9533333333327,1,1,0,0,0,13,SD,4.0,Medium,1,1,0.9985201,Critical,Compliance team intervention
